date,source,category,company,grade,price,change,action,title,url,crawled_at,review_status
2026-04-13,스크랩워치,수입,일본제철(일본),,,,인상,일본제철 4월 STS판재류 판매가격 동결 … 가파른 인상 후 숨고르기,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61852,2026-04-13T17:02:00.621189,대기
2026-04-13,스크랩워치,수입,일본제철(일본),,,,인상,일본제철 3월 계약분 유통向 H형강 5천엔 인상 … 2개월째 올라,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61714,2026-04-13T17:02:00.621189,대기
2026-01-20,스크랩워치,국내,포스코(포항),생철,,5000.0,인상,"포스코 19일부터 생철 5원, 중·경량·선반 10원(kg) 인상…광양 운임 보조 재개",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61711,2026-04-13T17:02:02.294723,대기
2026-01-20,스크랩워치,국내,포스코(포항),선반,,10000.0,인상,"포스코 19일부터 생철 5원, 중·경량·선반 10원(kg) 인상…광양 운임 보조 재개",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61711,2026-04-13T17:02:02.294723,대기
2026-04-13,스크랩워치,수입,일본제철(일본),,,,인상,"일본제철, 3월 계약분 유통向 STS강판 강종별로 1~2만엔 인상",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61665,2026-04-13T17:02:00.621189,대기
2026-04-24,스크랩워치,국내,세아베스틸,생철,,15000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T17:12:56.327085,대기
2026-04-24,스크랩워치,국내,세아베스틸,중량,,20000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T17:12:56.327085,대기
2026-04-24,스크랩워치,국내,세아베스틸,경량,,20000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T17:12:56.327085,대기
2026-04-06,스크랩워치,국내,동국제강(포항),,,-10000.0,인하,"동국제강 인천공장, 4월 6일(월) 스크랩단가 인하",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61732,2026-04-13T17:12:56.422285,대기
2026-04-23,스크랩워치,국내,환영,중량,,10000.0,특구,환영철강공업 23일부터 10~20원(kg) 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61727,2026-04-13T17:12:56.613965,대기
2026-04-20,스크랩워치,국내,동국제강(포항),,,10000.0,특구,동국제강 포항 20일부터 기간한정 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61719,2026-04-13T17:12:56.726926,대기
2026-04-09,스크랩워치,국내,세아창원특수강,생철,,15000.0,특구,세아창원특수강 9일(목)부터 생철 일부 등급 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61855,2026-04-13T20:59:15.717280,대기
2026-04-06,스크랩워치,국내,동국제강(인천),생철,,-10000.0,인하,"동국제강 인천공장, 4월 6일(월) 스크랩단가 인하",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61732,2026-04-13T22:09:19.401201,대기
2026-04-06,스크랩워치,국내,동국제강(인천),경량,,-10000.0,인하,"동국제강 인천공장, 4월 6일(월) 스크랩단가 인하",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61732,2026-04-13T22:09:19.401201,대기
2026-04-06,스크랩워치,국내,동국제강(인천),선반,,-10000.0,인하,"동국제강 인천공장, 4월 6일(월) 스크랩단가 인하",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61732,2026-04-13T22:09:19.401201,대기
2026-04-20,스크랩워치,국내,동국제강(포항),생철,,10000.0,특구,동국제강 포항 20일부터 기간한정 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61719,2026-04-13T22:09:19.742325,대기
