date,source,category,company,grade,price,change,action,title,url,crawled_at
2026-04-06,스틸데일리,,동국제강(인천),중량,,-10000.0,인하,"동국제강, 철 스크랩 구매가격 인하 · 인센티브도 손봐",https://www.steeldaily.co.kr/news/articleView.html?idxno=199375,2026-04-13T16:04:19.099752
2026-03-05,스틸데일리,,대한제강,,,10000.0,인상,부산·경남 제강사 일제히 철 스크랩 구매 가격 인상,https://www.steeldaily.co.kr/news/articleView.html?idxno=198669,2026-04-13T16:04:22.343098
2026-03-04,스틸데일리,,포스코(광양),생철,,-1000.0,하락,[3-1 KSSP] 철 스크랩 가격 지표 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198643,2026-04-13T16:04:22.454563
2026-04-13,스크랩워치,,동경제철(일본),,,,인상,동경제철 31일(화)부터 全거점 스크랩가격 인상 … 한국시장에 상승압력,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61782,2026-04-13T16:04:24.473138
2026-04-13,스크랩워치,,동국제강(포항),,,10000.0,인상,동국제강 포항 20일부터 기간한정 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61719,2026-04-13T16:04:25.644109
2026-04-13,스크랩워치,,동경제철(일본),,,,인상,日동경제철 20일부터 全거점 최대 1000엔 스크랩단가 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61713,2026-04-13T16:04:24.473138
2026-04-13,스크랩워치,,동경제철(일본),중량,,20000.0,인상,日동경제철 12일(목)부터 모든 거점 스크랩구매단가 최고 2500엔 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61659,2026-04-13T16:04:26.536185
2026-04-02,스틸데일리,,,,,,상승,日 철 스크랩 가격 지표 간사이 중심 상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=199298,2026-04-13T16:26:36.858310
2026-03-26,스틸데일리,,,,,,,日 간토지역 철 스크랩 가격 초강세,https://www.steeldaily.co.kr/news/articleView.html?idxno=199134,2026-04-13T16:26:36.858310
2026-03-26,스틸데일리,,,,,,,日 철 스크랩 가격 지표 3주 연속 급등,https://www.steeldaily.co.kr/news/articleView.html?idxno=199132,2026-04-13T16:26:36.858310
2026-03-19,스틸데일리,,,,,,,日 철 스크랩 가격 지표 또 '올라',https://www.steeldaily.co.kr/news/articleView.html?idxno=198982,2026-04-13T16:26:36.858310
2026-03-18,스틸데일리,,동국제강(포항),중량,,15000.0,인상,[KSSP 조사] 봉형강용 '강보합'·판재특수강용 '강세'…실질 구매가 상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=198933,2026-04-13T16:26:40.070073
2026-03-12,스틸데일리,,,,,,,美 철 스크랩 가격 지표 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198832,2026-04-13T16:26:36.858310
2026-03-12,스틸데일리,,,중량,,5000.0,인상,남부제강사 가격 인상 효과는?,https://www.steeldaily.co.kr/news/articleView.html?idxno=198808,2026-04-13T16:26:40.783583
2026-03-06,스틸데일리,,,,,,상승,日 철 스크랩 가격 지표 상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=198702,2026-04-13T16:26:36.858310
2026-02-26,스틸데일리,,,,,,,日 철 스크랩 가격 지표 크게 올라,https://www.steeldaily.co.kr/news/articleView.html?idxno=198555,2026-04-13T16:26:36.858310
2026-02-25,스틸데일리,,,,,,,美 철 스크랩 가격 지표 3주만에 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198526,2026-04-13T16:26:36.858310
2026-02-24,스틸데일리,,,,,,인상,日 중부 제강사 일제히 스크랩 가격 인상,https://www.steeldaily.co.kr/news/articleView.html?idxno=198496,2026-04-13T16:26:36.858310
2026-02-20,스틸데일리,,한국특강,중량,,-445000.0,인하,"부산경남 제강사 철 스크랩 가격 인하 ""완료""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198427,2026-04-13T16:26:43.650826
2026-02-19,스틸데일리,,,,,,,日 동경만 철 스크랩 가격 강세,https://www.steeldaily.co.kr/news/articleView.html?idxno=198398,2026-04-13T16:26:36.858310
2026-02-19,스틸데일리,,,,,,,日 철 스크랩 가격 지표 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198396,2026-04-13T16:26:36.858310
2026-02-13,스틸데일리,,,,,,,日 철 스크랩 가격 지표 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198358,2026-04-13T16:26:36.858310
2026-02-12,스틸데일리,,,,,,,"""제강사 철 스크랩 가격 내린 듯 안 내린 듯""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198312,2026-04-13T16:26:36.858310
2026-02-06,스틸데일리,,,,,,인하,남부 제강사 가격 인하 발표 후 시장 반응은?,https://www.steeldaily.co.kr/news/articleView.html?idxno=198193,2026-04-13T16:26:36.858310
2026-02-05,스틸데일리,,,,,,인하,"제강사, 스크랩 가격 인하 '만지작만지작'",https://www.steeldaily.co.kr/news/articleView.html?idxno=198132,2026-04-13T16:26:36.858310
2026-04-05,스크랩워치,,대한제강,,,10000.0,,한특 대한 이어 한국철강 5일(목)부터 특별구매 부활,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61621,2026-04-13T16:26:55.376809
2026-04-07,스틸데일리,,동국제강,,,,인하,"동국제강, 철 스크랩 구매가격 인하 · 인센티브도 손봐",https://www.steeldaily.co.kr/news/articleView.html?idxno=199375,2026-04-13T16:36:39.852005
2026-04-13,스크랩워치,,,,,200.0,상승,4월 13일 동스크랩 유통가격 전일대비 200원(kg) 상승,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61874,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,보합,4월 10일 동스크랩 유통가격 보합,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61867,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,보합,4월 9일 동스크랩 유통가격 보합,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61860,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,세아창원특수강,,,,,세아창원특수강 9일(목)부터 생철 일부 등급 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61855,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,보합,4월 8일 동스크랩 유통가격 보합,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61849,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,,[4월 2주] 알루미늄스크랩 주간시세,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61840,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,,[4월 2주] 동스크랩 주간시세,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61839,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,,[4월 2주] STS스크랩 주간시세,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61838,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,,[4월 2주] 스크랩워치 주간시세-영남권,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61837,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,,[4월 2주] 스크랩워치 주간시세-경인·충청권,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61836,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,상승,공급불안에 알루미늄 스크랩 유통가격 4주째 상승,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61834,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,100.0,상승,4월 7일 동스크랩 유통가격 전일대비 100원(kg) 상승,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61833,2026-04-13T16:36:42.568181
2026-04-13,스크랩워치,,,,,,보합,4월 3일 동스크랩 유통가격 보합,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61817,2026-04-13T16:36:42.568181
2024-05-30,스크랩워치,,,,,,,29. 알루미늄스크랩 유통가격(주간),https://www.scrapwatch.co.kr/news/articleView.html?idxno=48383,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,01. 국내 철스크랩 유통가격(주간)-경인·충청권,https://www.scrapwatch.co.kr/news/articleView.html?idxno=35357,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,02. 국내 철스크랩 유통가격(주간)-영남권,https://www.scrapwatch.co.kr/news/articleView.html?idxno=35355,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,03. 주물용 철스크랩 가격(상시),https://www.scrapwatch.co.kr/news/articleView.html?idxno=35344,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,05. 국내 STS스크랩 유통가격(주간),https://www.scrapwatch.co.kr/news/articleView.html?idxno=35342,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,08. 국내 동스크랩 유통가격(주간),https://www.scrapwatch.co.kr/news/articleView.html?idxno=35336,2026-04-13T16:36:43.386808
2020-02-17,스크랩워치,,,,,,,10. 일본 동경제철 스크랩구매가격(상시),https://www.scrapwatch.co.kr/news/articleView.html?idxno=35334,2026-04-13T16:36:43.386808
2026-04-01,철강금속신문,,,,,,인상,"(컬러강판)가격 인상, 절반의 성공?",http://www.snmnews.com/news/articleView.html?idxno=567400,2026-04-13T16:36:43.554796
2026-04-13,스크랩워치,수입,동경제철(일본),중량,,100000.0,인상,동경제철 10일(금)부터 스크랩단가 추격 인상 … 선행지표 오르자 반격,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61862,2026-04-13T16:45:58.615267
2026-04-13,스크랩워치,수입,동경제철(일본),경량,,100000.0,인상,동경제철 10일(금)부터 스크랩단가 추격 인상 … 선행지표 오르자 반격,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61862,2026-04-13T16:45:58.615267
2026-04-09,스크랩워치,국내,세아창원특수강,생철,,15000.0,특구,세아창원특수강 9일(목)부터 생철 일부 등급 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61855,2026-04-13T16:45:58.706281
2026-04-13,스크랩워치,수입,동경제철(일본),,,,인상,日 동경제철 7일(화)부터 全거점 스크랩구매단가 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61827,2026-04-13T16:45:58.506876
,스크랩워치,수입,동경제철(일본),중량,,95000.0,인상,동경제철 31일(화)부터 全거점 스크랩가격 인상 … 한국시장에 상승압력,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61782,2026-04-13T16:45:59.072062
,스크랩워치,수입,동경제철(일본),경량,,95000.0,인상,동경제철 31일(화)부터 全거점 스크랩가격 인상 … 한국시장에 상승압력,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61782,2026-04-13T16:45:59.072062
2026-04-24,스크랩워치,국내,세아베스틸,생철,,15000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T16:45:59.215715
2026-04-24,스크랩워치,국내,세아베스틸,중량,,20000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T16:45:59.215715
2026-04-24,스크랩워치,국내,세아베스틸,경량,,20000.0,특구,세아베스틸 24일(화)부터 10~20원(kg) 등급별 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61733,2026-04-13T16:45:59.215715
2026-04-06,스크랩워치,국내,동국제강(포항),,,-10000.0,인하,"동국제강 인천공장, 4월 6일(월) 스크랩단가 인하",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61732,2026-04-13T16:45:59.332468
2026-04-01,스크랩워치,국내,현대제철(인천),,,-10000.0,특구,현대제철 인천·당진공장 4월 1일부터 스크랩단가 인하 … 시장은 혼선,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61728,2026-04-13T16:45:59.453282
2026-04-23,스크랩워치,국내,환영,중량,,10000.0,특구,환영철강공업 23일부터 10~20원(kg) 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61727,2026-04-13T16:45:59.568942
2026-04-20,스크랩워치,국내,동국제강(포항),,,10000.0,특구,동국제강 포항 20일부터 기간한정 특별구매,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61719,2026-04-13T16:45:59.678939
2026-04-13,스크랩워치,수입,일본제철(일본),,,,인상,일본제철 3월 계약분 유통向 H형강 5천엔 인상 … 2개월째 올라,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61714,2026-04-13T16:45:58.506876
2026-04-20,스크랩워치,수입,동경제철(일본),중량,,80000.0,인상,日동경제철 20일부터 全거점 최대 1000엔 스크랩단가 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61713,2026-04-13T16:45:59.917110
2026-04-20,스크랩워치,수입,동경제철(일본),경량,,80000.0,인상,日동경제철 20일부터 全거점 최대 1000엔 스크랩단가 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61713,2026-04-13T16:45:59.917110
2026-04-13,스크랩워치,수입,동경제철(일본),,,,인상,日동경제철 18일 관동·중부거점 2곳 스크랩 구매단가 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61699,2026-04-13T16:45:58.506876
2026-04-13,스크랩워치,수입,동경제철(일본),,,,인상,日동경제철 4월 제품가격 최대 7천엔 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61690,2026-04-13T16:45:58.506876
2026-04-13,스크랩워치,수입,일본제철(일본),,,,인상,"일본제철, 3월 계약분 유통向 STS강판 강종별로 1~2만엔 인상",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61665,2026-04-13T16:45:58.506876
2026-04-12,스크랩워치,수입,동경제철(일본),중량,,65000.0,인상,日동경제철 12일(목)부터 모든 거점 스크랩구매단가 최고 2500엔 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61659,2026-04-13T16:46:00.507747
2026-04-12,스크랩워치,수입,동경제철(일본),경량,,65000.0,인상,日동경제철 12일(목)부터 모든 거점 스크랩구매단가 최고 2500엔 인상,https://www.scrapwatch.co.kr/news/articleView.html?idxno=61659,2026-04-13T16:46:00.507747
2026-04-13,스크랩워치,수입,동경제철(일본),생철,,,인상,"日동경제철, 갑자기 생철단가 2500엔 광폭 인상",https://www.scrapwatch.co.kr/news/articleView.html?idxno=61629,2026-04-13T16:45:58.506876
2026-04-09,스틸데일리,국내,,생철,,,,"세아창원, 생철A L 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199442,2026-04-13T22:09:01.440701
2026-03-23,스틸데일리,국내,현대제철(포항),생철,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-13T22:09:02.819883
2026-03-23,스틸데일리,국내,현대제철(포항),중량,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-13T22:09:02.819883
2026-03-23,스틸데일리,국내,현대제철(포항),경량,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-13T22:09:02.819883
2026-03-23,스틸데일리,국내,현대제철(포항),선반,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-13T22:09:02.819883
2026-02-14,스틸데일리,국내,포스코(광양),중량,,-10000.0,특구종료,"포스코, 철 스크랩 실질 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=198339,2026-04-13T22:09:05.892212
2026-02-14,스틸데일리,국내,포스코(광양),경량,,-10000.0,특구종료,"포스코, 철 스크랩 실질 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=198339,2026-04-13T22:09:05.892212
2026-02-02,스틸데일리,국내,포스코(광양),,,10000.0,인상,"포스코, ""스크랩 가격 인상했지만 인상하지 않았다""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198058,2026-04-13T22:09:07.030398
2026-01-26,스틸데일리,국내,현대제철(포항),생철,,20000.0,인상,"현대제철, 철 스크랩 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=197891,2026-04-13T22:09:08.360114
2026-01-26,스틸데일리,국내,현대제철(포항),중량,,20000.0,인상,"현대제철, 철 스크랩 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=197891,2026-04-13T22:09:08.360114
2026-01-26,스틸데일리,국내,현대제철(포항),경량,,10000.0,인상,"현대제철, 철 스크랩 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=197891,2026-04-13T22:09:08.360114
2026-01-26,스틸데일리,국내,현대제철(포항),선반,,10000.0,인상,"현대제철, 철 스크랩 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=197891,2026-04-13T22:09:08.360114
2026-01-05,스틸데일리,국내,현대제철(포항),,,10000.0,인상,"현대제철, 인천 당진 스크랩 구매가격 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=197433,2026-04-13T22:09:10.655720
2026-03-04,스틸데일리,,포스코(포항),생철,,-1000.0,하락,[3-1 KSSP] 철 스크랩 가격 지표 횡보,https://www.steeldaily.co.kr/news/articleView.html?idxno=198643,2026-04-13T16:04:22.454563
2026-04-10,스틸데일리,수입,동경제철(일본),,,,올려,"日 도쿄스틸, 철 스크랩 구매가격 대폭 올려",https://www.steeldaily.co.kr/news/articleView.html?idxno=199476,2026-04-14T13:44:04.920433
2026-04-09,스틸데일리,국내,세아창원특수강,생철,,15000.0,특구,"세아창원, 생철A L 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199442,2026-04-14T13:44:05.180349
2026-04-06,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 주요 공장 철 스크랩 1천엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199376,2026-04-14T13:44:04.920433
2026-04-02,스틸데일리,수입,동경제철(일본),,,,,日 도쿄스틸 스크랩 가격체계 조정,https://www.steeldaily.co.kr/news/articleView.html?idxno=199301,2026-04-14T13:44:04.920433
2026-04-01,스틸데일리,국내,현대제철(인천),생철,,0.0,보합,"현대제철, 서브밴더 스크랩 구매가격 동결",https://www.steeldaily.co.kr/news/articleView.html?idxno=199271,2026-04-14T13:44:05.557478
2026-04-01,스틸데일리,국내,현대제철(당진),생철,,0.0,보합,"현대제철, 서브밴더 스크랩 구매가격 동결",https://www.steeldaily.co.kr/news/articleView.html?idxno=199271,2026-04-14T13:44:05.557478
2026-04-01,스틸데일리,국내,현대제철(포항),생철,,0.0,보합,"현대제철, 서브밴더 스크랩 구매가격 동결",https://www.steeldaily.co.kr/news/articleView.html?idxno=199271,2026-04-14T13:44:05.557478
2026-03-30,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 전공장 철 스크랩 가격 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199208,2026-04-14T13:44:04.920433
2026-03-25,스틸데일리,국내,세아베스틸,,,-10000.0,인하,"현대 인하 발표에 세아는 인상, 스크랩 시장 어디로?",https://www.steeldaily.co.kr/news/articleView.html?idxno=199087,2026-04-14T13:44:05.782451
2026-03-23,스틸데일리,국내,세아베스틸,중량,,20000.0,특구,"세아베스틸, 기간특구 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199072,2026-04-14T13:44:05.895408
2026-03-23,스틸데일리,국내,세아베스틸,경량,,20000.0,특구,"세아베스틸, 기간특구 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199072,2026-04-14T13:44:05.895408
2026-03-23,스틸데일리,국내,세아베스틸,선반,,20000.0,특구,"세아베스틸, 기간특구 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199072,2026-04-14T13:44:05.895408
2026-03-23,스틸데일리,국내,세아베스틸,생철,,10000.0,특구,"세아베스틸, 기간특구 최대 20원 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=199072,2026-04-14T13:44:05.895408
2026-04-06,스틸데일리,국내,동국제강(인천),중량,445000.0,-10000.0,인하,"동국제강 인천, 6일 철 스크랩 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199062,2026-04-14T13:44:06.000166
2026-03-23,스틸데일리,국내,현대제철(당진),생철,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-14T13:44:06.113359
2026-03-23,스틸데일리,국내,현대제철(당진),중량,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-14T13:44:06.113359
2026-03-23,스틸데일리,국내,현대제철(당진),경량,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-14T13:44:06.113359
2026-03-23,스틸데일리,국내,현대제철(당진),선반,,-10000.0,인하,"현대제철, 인천 당진 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=199053,2026-04-14T13:44:06.113359
2026-03-23,스틸데일리,국내,환영,생철,,20000.0,특구,"환영철강, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199052,2026-04-14T13:44:06.241672
2026-03-23,스틸데일리,국내,환영,중량,,20000.0,특구,"환영철강, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199052,2026-04-14T13:44:06.241672
